"","Well","Sample","Protein","Mw Protein [Da]","Measured Mw Protein [Da]","Delta Mw Protein [Da]","Protein Intensity","Total % Binding","Peak [Da]","Intensity","Compound","Compound Mw [Da]","Delta Mw Compound [Da]","Binding Stoichiometry","Preferred","% Unmatched","% Correct","% Binding","Concentration [M]","Time [s]","binding","Replicate"
"1","A1","2025-04-30_COOB+Cpd39_0_0min_R1","COOB",35901,35902,1,72.373016,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,0,0,NA,"R1"
"2","A1","2025-04-30_COOB+Cpd39_1o09375_1min_R1","COOB",35901,35902,1,72.919828,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,1.0938,1,NA,"R15"
"3","A1","2025-04-30_COOB+Cpd39_1o09375_3min_R1","COOB",35901,35901.5,0.5,73.420195,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,1.0938,3,NA,"R18"
"4","A1","2025-04-30_COOB+Cpd39_1o09375_5min_R1","COOB",35901,35901.5,0.5,72.688982,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,1.0938,5,NA,"R20"
"5","A1","2025-04-30_COOB+Cpd39_1o09375_10min_R1","COOB",35901,35902,1,71.175429,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,1.0938,10,NA,"R12"
"6","A1","2025-04-30_COOB+Cpd39_1o09375_20min_R1","COOB",35901,35901.5,0.5,73.425492,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,1.0938,20,NA,"R16"
"7","A1","2025-04-30_COOB+Cpd39_1o09375_40min_R1","COOB",35901,35901,0,73.199897,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,1.0938,40,NA,"R19"
"8","A1","2025-04-30_COOB+Cpd39_1o09375_60min_R1","COOB",35901,35901,0,72.041953,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,1.0938,60,NA,"R21"
"9","A1","2025-04-30_COOB+Cpd39_1o09375_120min_R1","COOB",35901,35901,0,74.296342,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,1.0938,120,NA,"R13"
"10","A1","2025-04-30_COOB+Cpd39_1o09375_180min_R1","COOB",35901,35901,0,73.828936,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,1.0938,180,NA,"R14"
"11","A1","2025-04-30_COOB+Cpd39_1o09375_240min_R1","COOB",35901,35901,0,74.924845,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,1.0938,240,NA,"R17"
"12","A1","2025-04-30_COOB+Cpd39_2o1875_1min_R1","COOB",35901,35902,1,71.988645,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,2.1875,1,NA,"R25"
"13","A1","2025-04-30_COOB+Cpd39_2o1875_3min_R1","COOB",35901,35901.5,0.5,74.097413,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,2.1875,3,NA,"R28"
"14","A1","2025-04-30_COOB+Cpd39_2o1875_5min_R1","COOB",35901,35902,1,100,0.0808546440607051,36429,8.79672007678024,"cmp39",527.6,0.399999999999977,1,TRUE,80,20,0.0808546440607051,2.1875,5,8.08546440607051,"R30"
"15","A1","2025-04-30_COOB+Cpd39_2o1875_10min_R1","COOB",35901,35901.5,0.5,100,0.0890599368990634,36429,9.7767065591444,"cmp39",527.6,0.399999999999977,1,TRUE,80,20,0.0890599368990634,2.1875,10,8.90599368990634,"R22"
"16","A1","2025-04-30_COOB+Cpd39_2o1875_20min_R1","COOB",35901,35901.5,0.5,100,0.0849050872688235,36428.5,9.27828207627308,"cmp39",527.6,0.100000000000023,1,TRUE,80,20,0.0849050872688235,2.1875,20,8.49050872688235,"R26"
"17","A1","2025-04-30_COOB+Cpd39_2o1875_40min_R1","COOB",35901,35901,0,100,0.0933116016476937,36428.5,10.2914740959811,"cmp39",527.6,0.100000000000023,1,TRUE,80,20,0.0933116016476937,2.1875,40,9.33116016476937,"R29"
"18","A1","2025-04-30_COOB+Cpd39_2o1875_60min_R1","COOB",35901,35901,0,100,0.0986659533094447,36429,10.9466577537727,"cmp39",527.6,0.399999999999977,1,TRUE,80,20,0.0986659533094447,2.1875,60,9.86659533094447,"R31"
"19","A1","2025-04-30_COOB+Cpd39_2o1875_120min_R1","COOB",35901,35901,0,100,0.117631130880344,36428.5,13.3312875144501,"cmp39",527.6,0.100000000000023,1,TRUE,83.3333333333333,16.6666666666667,0.117631130880344,2.1875,120,11.7631130880344,"R23"
"20","A1","2025-04-30_COOB+Cpd39_2o1875_180min_R1","COOB",35901,35901,0,100,0.118666489308716,36428.5,13.4644249729751,"cmp39",527.6,0.100000000000023,1,TRUE,80,20,0.118666489308716,2.1875,180,11.8666489308716,"R24"
"21","A1","2025-04-30_COOB+Cpd39_2o1875_240min_R1","COOB",35901,35901,0,100,0.1200751321952,36428.5,13.6460664527823,"cmp39",527.6,0.100000000000023,1,TRUE,80,20,0.1200751321952,2.1875,240,12.00751321952,"R27"
"22","A1","2025-04-30_COOB+Cpd39_4o375_1min_R1","COOB",35901,35902,1,100,0.107729450669876,36429.5,12.0736306662541,"cmp39",527.6,0.899999999999977,1,TRUE,80,20,0.107729450669876,4.375,1,10.7729450669876,"R45"
"23","A1","2025-04-30_COOB+Cpd39_4o375_3min_R1","COOB",35901,35901.5,0.5,100,0.170577921566548,36429.5,20.5658766509715,"cmp39",527.6,0.899999999999977,1,TRUE,80,20,0.170577921566548,4.375,3,17.0577921566548,"R48"
"24","A1","2025-04-30_COOB+Cpd39_4o375_5min_R1","COOB",35901,35901.5,0.5,100,0.240642815608098,36429.5,31.690332369846,"cmp39",527.6,0.899999999999977,1,TRUE,83.3333333333333,16.6666666666667,0.240642815608098,4.375,5,24.0642815608098,"R50"
"25","A1","2025-04-30_COOB+Cpd39_4o375_10min_R1","COOB",35901,35902,1,100,0.265177998557271,36429.5,36.087378717108,"cmp39",527.6,0.899999999999977,1,TRUE,83.3333333333333,16.6666666666667,0.265177998557271,4.375,10,26.5177998557271,"R42"
"26","A1","2025-04-30_COOB+Cpd39_4o375_20min_R1","COOB",35901,35901.5,0.5,100,0.337986170705036,36429.5,51.0542462632521,"cmp39",527.6,0.899999999999977,1,TRUE,85.7142857142857,14.2857142857143,0.337986170705036,4.375,20,33.7986170705036,"R46"
"27","A1","2025-04-30_COOB+Cpd39_4o375_40min_R1","COOB",35901,35901,0,100,0.396889322297342,36429,65.8070461974168,"cmp39",527.6,0.399999999999977,1,TRUE,90,10,0.396889322297342,4.375,40,39.6889322297342,"R49"
"28","A1","2025-04-30_COOB+Cpd39_4o375_60min_R1","COOB",35901,35901,0,100,0.424520499517825,36429,73.7681358175458,"cmp39",527.6,0.399999999999977,1,TRUE,88.8888888888889,11.1111111111111,0.424520499517825,4.375,60,42.4520499517825,"R51"
"29","A1","2025-04-30_COOB+Cpd39_4o375_120min_R1","COOB",35901,35901.5,0.5,99.5731413789366,0.501069429027659,36429,100,"cmp39",527.6,0.399999999999977,1,TRUE,88.8888888888889,11.1111111111111,0.501069429027659,4.375,120,50.1069429027659,"R43"
"30","A1","2025-04-30_COOB+Cpd39_4o375_180min_R1","COOB",35901,35901.5,0.5,85.0873477506981,0.540285444765756,36429,100,"cmp39",527.6,0.399999999999977,1,TRUE,88.8888888888889,11.1111111111111,0.540285444765756,4.375,180,54.0285444765756,"R44"
"31","A1","2025-04-30_COOB+Cpd39_4o375_240min_R1","COOB",35901,35901.5,0.5,75.0219931830168,0.571356765977588,36428.5,100,"cmp39",527.6,0.100000000000023,1,TRUE,87.5,12.5,0.571356765977588,4.375,240,57.1356765977588,"R47"
"32","A1","2025-04-30_COOB+Cpd39_8o75_1min_R1","COOB",35901,35902.5,1.5,100,0.175097475585447,36430,21.2264443862282,"cmp39",527.6,1.39999999999998,1,TRUE,80,20,0.175097475585447,8.75,1,17.5097475585447,"R55"
"33","A1","2025-04-30_COOB+Cpd39_8o75_3min_R1","COOB",35901,35902,1,100,0.307960016036866,36429.5,44.5003212492519,"cmp39",527.6,0.899999999999977,1,TRUE,83.3333333333333,16.6666666666667,0.307960016036866,8.75,3,30.7960016036866,"R58"
"34","A1","2025-04-30_COOB+Cpd39_8o75_5min_R1","COOB",35901,35902.5,1.5,100,0.431910556258424,36430,76.0286185593866,"cmp39",527.6,1.39999999999998,1,TRUE,88.8888888888889,11.1111111111111,0.431910556258424,8.75,5,43.1910556258424,"R60"
"35","A1","2025-04-30_COOB+Cpd39_8o75_10min_R1","COOB",35901,35902,1,73.9321805459303,0.574936735031577,36429,100,"cmp39",527.6,0.399999999999977,1,TRUE,90,10,0.574936735031577,8.75,10,57.4936735031577,"R52"
"36","A1","2025-04-30_COOB+Cpd39_8o75_20min_R1","COOB",35901,35902,1,34.0176411683211,0.746170422999788,36429,100,"cmp39",527.6,0.399999999999977,1,TRUE,85.7142857142857,14.2857142857143,0.746170422999788,8.75,20,74.6170422999788,"R56"
"37","A1","2025-04-30_COOB+Cpd39_8o75_40min_R1","COOB",35901,35902.5,1.5,13.5854089091371,0.880394770423331,36429.5,100,"cmp39",527.6,0.899999999999977,1,TRUE,85.7142857142857,14.2857142857143,0.880394770423331,8.75,40,88.0394770423331,"R59"
"38","A1","2025-04-30_COOB+Cpd39_8o75_60min_R1","COOB",35901,35901,0,9.59502064296577,0.912450213644067,36428.5,100,"cmp39",527.6,0.100000000000023,1,TRUE,83.3333333333333,16.6666666666667,0.912450213644067,8.75,60,91.2450213644067,"R61"
"39","A1","2025-04-30_COOB+Cpd39_8o75_120min_R1","COOB",35901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,8.75,120,NA,"R53"
"40","A1","2025-04-30_COOB+Cpd39_8o75_180min_R1","COOB",35901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,8.75,180,NA,"R54"
"41","A1","2025-04-30_COOB+Cpd39_8o75_240min_R1","COOB",35901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,8.75,240,NA,"R57"
"42","A1","2025-04-30_COOB+Cpd39_17o5_1min_R1","COOB",35901,35902,1,100,0.188630718517236,36429.5,23.2484422102493,"cmp39",527.6,0.899999999999977,1,TRUE,83.3333333333333,16.6666666666667,0.188630718517236,17.5,1,18.8630718517236,"R5"
"43","A1","2025-04-30_COOB+Cpd39_17o5_3min_R1","COOB",35901,35902,1,100,0.330637085118427,36429.5,49.3957878107014,"cmp39",527.6,0.899999999999977,1,TRUE,87.5,12.5,0.330637085118427,17.5,3,33.0637085118427,"R8"
"44","A1","2025-04-30_COOB+Cpd39_17o5_5min_R1","COOB",35901,35902,1,100,0.442809038254691,36429.5,79.4716836159122,"cmp39",527.6,0.899999999999977,1,TRUE,88.8888888888889,11.1111111111111,0.442809038254691,17.5,5,44.2809038254691,"R10"
"45","A1","2025-04-30_COOB+Cpd39_17o5_10min_R1","COOB",35901,35902,1,62.6236454165355,0.614916728399892,36429.5,100,"cmp39",527.6,0.899999999999977,1,TRUE,90.9090909090909,9.09090909090909,0.614916728399892,17.5,10,61.4916728399891,"R2"
"46","A1","2025-04-30_COOB+Cpd39_17o5_20min_R1","COOB",35901,35902,1,27.5957163233011,0.783725370110551,36429,100,"cmp39",527.6,0.399999999999977,1,TRUE,83.3333333333333,16.6666666666667,0.783725370110551,17.5,20,78.3725370110551,"R6"
"47","A1","2025-04-30_COOB+Cpd39_17o5_40min_R1","COOB",35901,35901.5,0.5,10.1262057569228,0.908049081621191,36429.5,100,"cmp39",527.6,0.899999999999977,1,TRUE,87.5,12.5,0.908049081621191,17.5,40,90.8049081621191,"R9"
"48","A1","2025-04-30_COOB+Cpd39_17o5_60min_R1","COOB",35901,35898.5,2.5,7.95310915777666,0.926328113939239,36428.5,100,"cmp39",527.6,0.100000000000023,1,TRUE,85.7142857142857,14.2857142857143,0.926328113939239,17.5,60,92.6328113939239,"R11"
"49","A1","2025-04-30_COOB+Cpd39_17o5_120min_R1","COOB",35901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,17.5,120,NA,"R3"
"50","A1","2025-04-30_COOB+Cpd39_17o5_180min_R1","COOB",35901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,17.5,180,NA,"R4"
"51","A1","2025-04-30_COOB+Cpd39_17o5_240min_R1","COOB",35901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,17.5,240,NA,"R7"
"52","A1","2025-04-30_COOB+Cpd39_35_1min_R1","COOB",35901,35902.5,1.5,100,0.2343614471566,36430,30.6099328836352,"cmp39",527.6,1.39999999999998,1,TRUE,85.7142857142857,14.2857142857143,0.2343614471566,35,1,23.43614471566,"R35"
"53","A1","2025-04-30_COOB+Cpd39_35_3min_R1","COOB",35901,35902,1,100,0.38506573504763,36430,62.6190077532035,"cmp39",527.6,1.39999999999998,1,TRUE,88.8888888888889,11.1111111111111,0.38506573504763,35,3,38.506573504763,"R38"
"54","A1","2025-04-30_COOB+Cpd39_35_5min_R1","COOB",35901,35902.5,1.5,97.9022520678897,0.505299959728075,36430,100,"cmp39",527.6,1.39999999999998,1,TRUE,94.1176470588235,5.88235294117648,0.505299959728075,35,5,50.5299959728075,"R40"
"55","A1","2025-04-30_COOB+Cpd39_35_10min_R1","COOB",35901,35902,1,45.9453106810358,0.68518816763185,36429.5,100,"cmp39",527.6,0.899999999999977,1,TRUE,90.9090909090909,9.09090909090909,0.68518816763185,35,10,68.518816763185,"R32"
"56","A1","2025-04-30_COOB+Cpd39_35_20min_R1","COOB",35901,35902.5,1.5,18.7663250584148,0.841989511343517,36429.5,100,"cmp39",527.6,0.899999999999977,1,TRUE,85.7142857142857,14.2857142857143,0.841989511343517,35,20,84.1989511343517,"R36"
"57","A1","2025-04-30_COOB+Cpd39_35_40min_R1","COOB",35901,35898.5,2.5,8.87737661436528,0.918464451565469,36429,100,"cmp39",527.6,0.399999999999977,1,TRUE,87.5,12.5,0.918464451565469,35,40,91.8464451565469,"R39"
"58","A1","2025-04-30_COOB+Cpd39_35_60min_R1","COOB",35901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,35,60,NA,"R41"
"59","A1","2025-04-30_COOB+Cpd39_35_120min_R1","COOB",35901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,35,120,NA,"R33"
"60","A1","2025-04-30_COOB+Cpd39_35_180min_R1","COOB",35901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,35,180,NA,"R34"
"61","A1","2025-04-30_COOB+Cpd39_35_240min_R1","COOB",35901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,NA,35,240,NA,"R37"
